side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
SHORT,2026-01-16 20:35:00+00:00,2026-01-16 20:50:00+00:00,3282.26,3288.4,35485.614774561414,-109.00416800027249,STOP
SHORT,2026-01-17 15:20:00+00:00,2026-01-17 15:35:00+00:00,3315.22,3325.0,34395.57309455869,-142.80355701557096,STOP
SHORT,2026-01-17 16:00:00+00:00,2026-01-17 17:15:00+00:00,3323.32,3325.99,16483.76876220149,-33.03175008003684,STOP
SHORT,2026-01-18 03:35:00+00:00,2026-01-18 07:35:00+00:00,3314.33,3305.65,16417.483211393297,23.32106578676097,TIME
SHORT,2026-01-18 13:50:00+00:00,2026-01-18 14:15:00+00:00,3324.25,3339.14,33258.76220943105,-188.97274013977426,STOP
SHORT,2026-01-18 14:20:00+00:00,2026-01-18 15:55:00+00:00,3337.97,3332.31,10504.654673266868,5.217228634855868,TRAIL
SHORT,2026-01-18 18:30:00+00:00,2026-01-18 20:20:00+00:00,3358.75,3349.18,9880.942193572986,16.313275966170355,TRAIL
LONG,2026-01-18 23:10:00+00:00,2026-01-18 23:20:00+00:00,3327.55,3323.14,13376.737409806963,-33.769629971501644,STOP
LONG,2026-01-18 23:30:00+00:00,2026-01-18 23:45:00+00:00,3309.3,3293.45,29882.716884108537,-178.89763030159241,STOP
LONG,2026-01-18 23:55:00+00:00,2026-01-19 00:00:00+00:00,3282.77,3257.4,22688.601208098826,-202.4638332954693,STOP
LONG,2026-01-19 00:25:00+00:00,2026-01-19 04:25:00+00:00,3202.71,3210.66,5294.193976577698,6.780716087205295,TIME
LONG,2026-01-19 23:20:00+00:00,2026-01-20 00:20:00+00:00,3175.22,3179.7,7126.714384092878,1.4971751804538016,TRAIL
LONG,2026-01-20 00:30:00+00:00,2026-01-20 02:05:00+00:00,3182.01,3183.07,10359.259668455612,-8.982276821799328,TRAIL
LONG,2026-01-20 05:15:00+00:00,2026-01-20 06:15:00+00:00,3161.76,3132.35,13180.36817003418,-138.34378325436643,STOP
