entry_ts,exit_ts,side,entry,exit,qty,notional,pnl,reason
2025-12-02 15:06:00+00:00,2025-12-02 15:12:00+00:00,SHORT,2921.15,2945.1,1.3277470557851205,3910.3478539927582,-35.70988984004615,STOP
2025-12-02 15:19:00+00:00,2025-12-02 15:43:00+00:00,SHORT,2970.08,3004.94,0.6830395964779737,2052.4930050405223,-25.863253338262773,STOP
2025-12-02 22:18:00+00:00,2025-12-02 23:18:00+00:00,SHORT,3009.77,3012.71,1.9628702497842156,5913.5588302274045,-11.684397364593107,TIME
2025-12-03 00:07:00+00:00,2025-12-03 00:23:00+00:00,LONG,2994.0,2994.8,2.8400669629960023,8505.432540780428,-6.233378970383109,TRAIL
2025-12-03 02:20:00+00:00,2025-12-03 03:17:00+00:00,SHORT,3034.77,3030.08,1.285001546781596,3893.6574868719786,2.132999767533777,TRAIL
2025-12-03 05:02:00+00:00,2025-12-03 05:06:00+00:00,SHORT,3054.3,3064.29,2.99934385462712,9190.859380295336,-39.154304488019605,STOP
2025-12-03 05:07:00+00:00,2025-12-03 05:38:00+00:00,SHORT,3065.94,3059.3,0.9046963698344488,2767.7376042345295,3.2394462914660958,TRAIL
2025-12-03 06:28:00+00:00,2025-12-03 07:08:00+00:00,SHORT,3080.73,3058.19,0.8883273925138535,2716.6739485119415,17.30622547875028,EMA
2025-12-03 12:07:00+00:00,2025-12-03 12:20:00+00:00,SHORT,3068.78,3080.17,2.6519608847794216,8168.490358471031,-38.37432483610831,STOP
2025-12-03 13:19:00+00:00,2025-12-03 14:01:00+00:00,SHORT,3091.76,3068.47,0.7444946062900291,2284.459364562765,15.054820015932323,EMA
2025-12-03 14:07:00+00:00,2025-12-03 14:29:00+00:00,LONG,3042.71,3072.5,0.9027869601495235,2773.812935059411,24.120210607794863,EMA
2025-12-03 14:46:00+00:00,2025-12-03 14:52:00+00:00,SHORT,3114.33,3076.65,0.5804323443979932,1785.7871723920857,20.0849035645242,EMA
2025-12-03 21:28:00+00:00,2025-12-03 21:56:00+00:00,SHORT,3147.6,3165.74,2.680231775537566,8484.916941090294,-57.104321349341404,STOP
2025-12-03 22:01:00+00:00,2025-12-03 22:38:00+00:00,SHORT,3174.07,3168.9,0.59913096432223,1898.5861128407148,1.1989209727052579,TRAIL
2025-12-03 22:48:00+00:00,2025-12-03 23:01:00+00:00,SHORT,3188.52,3214.29,1.1297988658191218,3631.501196413745,-32.746417968572494,STOP
2025-12-03 23:03:00+00:00,2025-12-03 23:40:00+00:00,SHORT,3197.52,3184.08,0.9642664788116638,3070.3016098546427,9.889439865374172,TRAIL
2025-12-04 01:19:00+00:00,2025-12-04 02:19:00+00:00,SHORT,3204.73,3219.0,0.9110670238076719,2932.724749636896,-15.933651179372358,TIME
2025-12-04 05:20:00+00:00,2025-12-04 05:35:00+00:00,LONG,3181.48,3182.57,2.944582976538899,9371.341443643405,-6.161745999215578,TRAIL
2025-12-04 06:45:00+00:00,2025-12-04 07:06:00+00:00,SHORT,3207.24,3195.85,1.8441834716568877,5893.733747894665,15.111515994277052,EMA
2025-12-04 13:07:00+00:00,2025-12-04 13:24:00+00:00,LONG,3161.79,3182.67,0.6429611930360627,2046.3333002400857,11.378696410352973,EMA
2025-12-04 15:07:00+00:00,2025-12-04 15:12:00+00:00,LONG,3161.81,3178.31,1.171581038138207,3723.6477293250446,15.607439399955371,EMA
2025-12-04 15:43:00+00:00,2025-12-04 16:07:00+00:00,SHORT,3210.24,3199.56,1.0043042170931245,3213.331600842477,7.512637437711928,TRAIL
2025-12-04 16:09:00+00:00,2025-12-04 16:24:00+00:00,SHORT,3201.24,3220.66,1.3394638444184226,4313.957625164637,-30.326345483770503,STOP
2025-12-04 19:29:00+00:00,2025-12-04 20:06:00+00:00,LONG,3092.04,3112.99,0.8279321635583032,2577.344545835362,14.76783428071094,TRAIL
2025-12-05 02:25:00+00:00,2025-12-05 02:37:00+00:00,SHORT,3173.22,3184.29,2.224404444737312,7083.148829332576,-31.707306032574984,STOP
2025-12-05 02:38:00+00:00,2025-12-05 03:38:00+00:00,SHORT,3185.21,3170.9,1.0565011179467405,3350.0593948973196,11.76847160292048,TIME
2025-12-05 04:42:00+00:00,2025-12-05 04:53:00+00:00,LONG,3155.52,3167.62,2.085293018713118,6605.415871936046,18.62662965449249,EMA
2025-12-05 08:49:00+00:00,2025-12-05 09:06:00+00:00,LONG,3153.51,3144.45,2.3139722223651735,7276.16995461617,-28.24075828924557,STOP
